gv,bv,pw,positive,negative
0,-40,0,[1 7.209149043774232e-05 3.407332656024664e-07 0 0 0],[3.3424557841499336e-06 3.852900135825621e-06 4.4651074858848006e-05 0.026306793093681335 0.3806779980659485 0.6193220019340515]
0,-40,10,[0.8219173550605774 0.1780826300382614 0.004186523612588644 0.0005798612255603075 7.981201633810997e-06 0],[1.7001055994114722e-06 0.0001622637500986457 0.014257765375077724 0.9485493302345276 0.051450662314891815 8.771188731770962e-05]
0,-40,20,[0.4483357071876526 0.5516642928123474 0.015651727095246315 0.0018269000574946404 7.634784196852706e-06 0],[1.2521646794994012e-06 0.00021217018365859985 0.03023001365363598 1 0.022000249475240707 1.2320800124143716e-05]
0,-40,30,[0.24446865916252136 0.7555313110351562 0.024274511262774467 0.0024513232056051493 7.280974386958405e-06 0],[1.0074896863443428e-06 0.00021304955589585006 0.035645317286252975 1 0.013610292226076126 5.8511150200502016e-06]
0,-40,40,[0.028187351301312447 1 0.03638000786304474 0.00418620090931654 1.5403300494654104e-05 0],[2.241008769487962e-05 0.075206458568573 0.6100987792015076 0.31469473242759705 0.0007971177692525089 2.3105401396605885e-06]
0,-40,50,[0.07230132073163986 0.9276987314224243 0.015293491072952747 0.000902844883967191 2.314135372216697e-06 0],[1.1204508155060466e-05 0.023436615243554115 0.4797007739543915 0.5202992558479309 0.0005812606541439891 1.2112068361602724e-06]
0,-40,60,[0.0014092061901465058 0.9457611441612244 0.054238829761743546 0.008057678118348122 1.8913471649284475e-05 2.9963652536935115e-07],[3.635601024143398e-05 0.13400650024414062 0.7302588820457458 0.13573463261127472 0.00018180084589403123 8.900433385861106e-07]
0,-40,70,[0.0014400671934708953 0.9341379404067993 0.06586205959320068 0.010976625606417656 3.716506398632191e-05 5.923986350353516e-07],[0.00018335669301450253 0.3324280381202698 0.5847707390785217 0.08280124515295029 0.0002608819049783051 1.6337828583345981e-06]
0,-40,80,[0.002212939318269491 0.9393744468688965 0.060625556856393814 0.013964403420686722 7.807923975633457e-05 1.4679072819490102e-06],[0.001576549606397748 0.7667912840843201 0.23320871591567993 0.051902543753385544 0.0003106666845269501 3.4899990168923978e-06]
0,-40,90,[0.006106912158429623 1 0.05627799779176712 0.008788252249360085 8.728206012165174e-05 2.7477708499645814e-06],[0.004059778526425362 0.8854319453239441 0.11456804722547531 0.03376813232898712 0.00034667993895709515 6.616714017582126e-06]
0,-40,100,[1 0.020906323567032814 0.00013009150279685855 3.106549775111489e-05 1.9867047740262933e-06 0],[0.022774599492549896 0.2562224566936493 0.21664343774318695 0.527134120464325 0.022493429481983185 0.0007171168690547347]
0,-50,0,[1 4.384337444207631e-05 0 0 0 0],[3.823337920039194e-06 3.5497407679940807e-06 3.155051308567636e-05 0.015126349404454231 0.2828170955181122 0.7171828746795654]
0,-50,10,[0.8077800869941711 0.19221988320350647 0.0033899438567459583 0.0004216373199597001 6.216182555363048e-06 0],[2.032508064075955e-06 0.0002084539009956643 0.01446794718503952 0.941806972026825 0.058193035423755646 9.686004341347143e-05]
0,-50,20,[0.510971188545227 0.48902878165245056 0.011142614297568798 0.0012145515065640211 6.403355655493215e-06 0],[1.1994013675575843e-06 0.00016089534619823098 0.019357867538928986 1 0.03800097480416298 1.7495854990556836e-05]
0,-50,30,[0.2837108373641968 0.7162891626358032 0.017577853053808212 0.0016196187352761626 5.582277935900493e-06 0],[1.2450022950361017e-06 0.00031170525471679866 0.0383051335811615 1 0.016341762617230415 6.676399607385974e-06]
0,-50,40,[0.05609983950853348 0.9439001679420471 0.03319667652249336 0.0025934285949915648 6.658513029833557e-06 0],[1.5918471945042256e-06 0.0007643199060112238 0.08567891269922256 1 0.007402424700558186 3.5860107345797587e-06]
0,-50,50,[0.04645298048853874 1 0.011187632568180561 0.0005928628379479051 1.7297990098086302e-06 0],[9.631119610276073e-05 0.30848169326782227 0.5406592488288879 0.1508590281009674 0.00038914597826078534 1.7969616692425916e-06]
0,-50,60,[0.002622451400384307 1 0.06708301603794098 0.005711530800908804 1.5214901395665947e-05 2.495411024483474e-07],[4.3020740122301504e-05 0.11342048645019531 0.6804087162017822 0.20617078244686127 0.0004279480199329555 1.431070927537803e-06]
0,-50,70,[0.001826135441660881 0.9457014203071594 0.05429854243993759 0.009318136610090733 3.3964090107474476e-05 5.755011329711124e-07],[0.00027211077394895256 0.41778793931007385 0.5034891963005066 0.07872284203767776 0.00036065737367607653 2.133498810508172e-06]
0,-50,80,[0.002912483410909772 1 0.07681312412023544 0.010200603865087032 6.108213710831478e-05 1.2551935242299805e-06],[0.0018964947666972876 0.8025422096252441 0.19745776057243347 0.050919923931360245 0.00040630248258821666 4.385044121590909e-06]
0,-50,90,[0.006932953372597694 1 0.05148874968290329 0.007887776009738445 8.307183452416211e-05 2.798919240376563e-06],[0.006381864193826914 0.9277341961860657 0.07226575911045074 0.021675268188118935 0.00025070455740205944 5.003226306143915e-06]
0,-50,100,[1 0.03171095252037048 0.00015962720499373972 3.6230674595572054e-05 2.0398470041982364e-06 0],[0.055411841720342636 0.4793376326560974 0.15767942368984222 0.3075711131095886 0.015886370092630386 0.00047935088514350355]
